City,Cloudiness,Country,Date,Humidity,Lat,Lng,Max Temp (Celsius),Wind Speed
Creston,90,CA,1570232263,75,49.1,-116.52,8,1.81
Oskarshamn,37,SE,1570232340,86,57.26,16.44,5.56,2.6
Coahuayana,47,MX,1570232341,87,18.62,-100.35,25.07,0.82
Sabya,40,SA,1570232341,79,17.15,42.62,31,1.5
Xichang,62,CN,1570232341,94,27.88,102.25,11.71,0.95
Avera,75,US,1570232341,52,33.19,-82.53,36,1.5
Saint-Gaudens,75,FR,1570232342,93,43.11,0.72,14.44,2.6
Suntar,44,RU,1570232198,84,62.16,117.65,-1.34,2.14
Khalkhal,0,IR,1570232342,88,37.62,48.53,6.36,0.54
Kavaratti,61,IN,1570232342,73,10.57,72.64,27.45,2.86
Paamiut,100,GL,1570232343,66,61.99,-49.67,6.7,10.57
Amahai,58,ID,1570232343,83,-3.31,129,25.56,2.372
Antofagasta,90,CL,1570232344,71,-23.65,-70.4,14,5.1
Zhigansk,0,RU,1570232344,64,66.77,123.37,-5.56,2.66
Teya,75,MX,1570232344,62,21.05,-89.07,31,3.6
Nizhniy Tsasuchey,0,RU,1570232345,56,50.52,115.13,4.66,4.36
Noshiro,75,JP,1570232345,82,40.21,140.05,19,2.1
Hashtrud,0,IR,1570232345,86,37.48,47.05,8.25,1.01
El Alto,75,BO,1570232346,87,-16.5,-68.19,7,2.6
Krasnogorskiy,100,RU,1570232346,95,55.39,83.61,6.28,3.09
Haines Junction,55,CA,1570232346,50,60.75,-137.51,3.88,4.47
Kruisfontein,9,ZA,1570232347,86,-34,24.73,11.48,1.98
Benoy,0,RU,1570232347,100,43.06,46.02,13,2.52
Claremore,90,US,1570232158,69,36.31,-95.62,25,1.5
Canico,40,PT,1570232347,78,32.63,-16.85,23,3.6
Slobidka,49,UA,1570232348,72,48.42,26.77,5.68,0.724
Tevaitoa,67,PF,1570232348,79,-16.78,-151.5,26.46,3.921
Itaqui,97,BR,1570232349,90,-29.13,-56.55,17.83,5.38
Vostok,64,RU,1570232349,81,46.45,135.83,4.52,1.64
Yerofey Pavlovich,77,RU,1570232349,63,53.97,121.97,0.95,1.41
Padang,82,ID,1570232214,85,-0.92,100.36,25.89,5.03
Henties Bay,0,NA,1570232350,87,-22.12,14.28,14.16,1.92
Kungurtug,0,RU,1570232350,65,50.6,97.53,-4.03,0.71
Kuytun,50,RU,1570232350,67,54.34,101.51,1.63,1.634
San Rafael,26,AR,1570232251,25,-34.61,-68.33,11.46,3.08
Enumclaw,75,US,1570232351,93,47.2,-121.99,16.11,2.6
Hassleholm,99,SE,1570232351,75,56.16,13.77,6.11,4.1
Wasilla,90,US,1570232337,93,61.58,-149.44,12,5.7
Banyo,100,CM,1570232148,85,6.75,11.81,18.61,1.39
Maykor,81,RU,1570232352,93,59.01,55.89,11.14,4.4
Los Llanos de Aridane,90,ES,1570232352,78,28.66,-17.92,23,7.2
Mar del Plata,22,AR,1570232352,33,-46.43,-67.52,11.98,5.14
Guilin,0,CN,1570232352,94,25.28,110.29,21,0.405
Gao,0,ML,1570232353,11,16.28,-0.04,33.36,2.36
Zastron,74,ZA,1570232353,27,-30.3,27.08,7.87,0.636
Waingapu,0,ID,1570232354,62,-9.65,120.26,26.37,3.5
Thinadhoo,100,MV,1570232354,76,0.53,72.93,27.29,3.93
Geraldton,5,CA,1570232354,46,49.72,-86.95,10,1
Tambovka,0,RU,1570232354,61,47.32,47.38,14.04,5.49
Tanout,74,NE,1570232355,35,14.97,8.88,31.93,5.4
Aksay,4,KZ,1570232355,29,51.17,53.01,11.05,4.39
Sorland,98,NO,1570232355,60,67.67,12.69,6.88,6.106
Sisimiut,22,GL,1570232356,76,66.94,-53.67,4.74,9.44
Arandis,0,NA,1570232356,32,-22.42,14.98,17.1,1.482
Tagusao,88,PH,1570232356,68,9.19,117.81,28.58,2.51
Zhanaozen,0,KZ,1570232357,40,43.35,52.85,12.52,5.1
Miraflores,40,PE,1570232203,66,-16.39,-71.52,13,3.1
Kankakee,1,US,1570232357,62,41.12,-87.86,14,4.6
Tilichiki,54,RU,1570232357,50,60.47,166.1,1.7,1.408
Byron Bay,90,AU,1570232358,78,-28.65,153.62,25,6.7
Cedar City,1,US,1570232088,7,37.68,-113.06,22,7.2
Kamina,17,CD,1570232358,85,-8.74,25,19.25,1.1
Husavik,53,CA,1570232359,71,50.56,-96.99,9.44,1.79
Tallahassee,75,US,1570232166,58,30.44,-84.28,32,3.1
Dali,100,CN,1570232359,82,34.79,109.94,14.84,4.26
Kissidougou,99,GN,1570232359,96,9.19,-10.1,20.81,1.12
Morros,38,BR,1570232360,83,-2.87,-44.04,27,4.1
Phan Thiet,58,VN,1570232360,88,10.93,108.1,24.98,0.95
Areia Branca,20,BR,1570232360,69,-10.76,-37.31,26,5.1
Khash,25,IR,1570232360,69,28.22,61.21,13.4,2.01
Westport,1,US,1570232361,50,41.14,-73.36,14.44,3.6
Ulaangom,0,MN,1570232361,71,49.98,92.07,-2.23,0.072
Alta Floresta,87,BR,1570232366,55,-9.87,-56.08,27.87,0.17
Mlonggo,20,ID,1570232372,64,-6.53,110.7,23,1
Necochea,100,AR,1570232372,95,-38.55,-58.74,10.56,0.45
Coleraine,100,AU,1570232373,78,-37.6,141.69,14.15,3.42
Fairbanks,90,US,1570232373,93,64.84,-147.72,4,1.89
Providencia,40,CO,1570232373,82,1.24,-77.6,19,3.1
Craig,1,US,1570232374,14,40.52,-107.55,21,16.5
Shangrao,0,CN,1570232374,72,28.45,117.97,25.21,3.289
Caronport,90,CA,1570232374,81,50.46,-105.81,8.89,2.6
Chapais,90,CA,1570232375,93,49.78,-74.86,3,1
Soyo,86,AO,1570232375,85,-6.13,12.37,23.76,3.078
Jumla,55,NP,1570232375,85,29.28,82.18,5.99,1.91
Santiago de Cao,90,PE,1570232375,82,-7.96,-79.24,17,5.7
Guerrero Negro,0,MX,1570232376,73,27.97,-114.04,20.41,6.35
Zatoka,75,PL,1570232376,93,50.04,20.52,8.33,2.6
Ozernovskiy,100,RU,1570232376,67,51.5,156.52,4.41,2.59
Bosaso,0,SO,1570232377,69,11.28,49.18,29.58,1.91
Uyuni,38,BO,1570232377,26,-20.46,-66.82,8.46,5.71
Grand Gaube,40,MU,1570232377,94,-20.01,57.66,23,3.6
Ouro Preto do Oeste,24,BR,1570232378,75,-10.75,-62.22,24.98,2.09
Mackay,75,CA,1570232378,50,53.65,-115.58,11,5.7
Nabire,64,ID,1570232378,71,-3.36,135.5,26.45,1.21
Loa Janan,25,ID,1570232379,89,-0.58,117.09,25.48,1.262
Meulaboh,100,ID,1570232379,81,4.14,96.13,26.27,4.898
Gamba,14,CN,1570232379,79,28.28,88.52,-0.36,0.96
Port Blair,20,IN,1570232379,94,11.67,92.75,24,0.5
Qaqortoq,100,GL,1570232380,26,60.72,-46.03,13,18
Huarmey,21,PE,1570232380,91,-10.07,-78.15,16.36,10.29
Calinesti,100,RO,1570232380,92,44.82,25.05,7.86,0.733
Sumter,1,US,1570232381,55,33.92,-80.34,34,3.24
Longyearbyen,75,NO,1570232381,90,78.22,15.63,0,1
Diego de Almagro,2,CL,1570232381,95,-26.39,-70.05,6.87,0.27
Slave Lake,75,CA,1570232136,54,55.28,-114.77,12,5.7
Abha,0,SA,1570232382,33,18.22,42.5,18,3.6
Kiama,75,AU,1570232382,82,-34.67,150.86,15,4.1
Pangnirtung,40,CA,1570232382,69,66.15,-65.72,2,4.1
Searcy,1,US,1570232383,44,35.25,-91.74,26,4.1
Jiuquan,96,CN,1570232383,48,39.73,98.49,6.15,2.87
Taltal,0,CL,1570232383,85,-25.41,-70.49,10.32,1.55
Krasnogorodsk,95,RU,1570232383,94,56.83,28.28,3.2,2.692
Xuddur,99,SO,1570232384,83,4.12,43.89,23.62,3.45
Saint-Pierre,90,FR,1570232384,93,48.95,4.24,13,5.7
Nome,40,US,1570232207,58,30.04,-94.42,32.78,2.6
Ushumun,5,RU,1570232385,58,52.78,126.54,2.74,2.36
Sawakin,0,SD,1570232385,86,19.1,37.33,24.17,0.89
Vuktyl,100,RU,1570232385,83,63.86,57.31,2.52,5.26
Victor Harbor,0,AU,1570232386,31,-35.55,138.62,28.33,5.1
Lompoc,1,US,1570232386,43,34.64,-120.46,24.44,5.7
Srednekolymsk,100,RU,1570232386,69,67.46,153.71,-3.66,7.4
Salalah,20,OM,1570232387,83,17.01,54.1,26,3.1
Wuda,9,CN,1570232387,57,39.5,106.72,8.87,10.056
Kanker,0,IN,1570232387,95,20.27,81.49,20.71,0.39
Maloy,41,ID,1570232388,76,1,118.1,26.58,1.32
Saint Anthony,90,US,1570232388,61,43.97,-111.68,8,6.7
Pevek,100,RU,1570232388,79,69.7,170.27,-0.41,12.25
Masvingo,45,ZW,1570232388,62,-20.08,30.83,18.36,2.54
Sayyan,2,YE,1570232389,74,15.17,44.32,19.62,0.59
Rome,68,IT,1570232389,71,41.89,12.48,16.67,2.6
Ancud,20,CL,1570232389,87,-41.87,-73.83,8,1
York,1,US,1570232323,62,39.96,-76.73,14,6.7
Finschhafen,100,PG,1570232390,99,-6.6,147.85,17.96,0.77
Torbay,20,CA,1570232390,74,47.66,-52.73,3.33,4.1
Carauari,94,BR,1570232391,99,-4.88,-66.9,23.21,1.3
Neuquen,0,AR,1570232391,41,-38.95,-68.06,16,3.6
Rawson,0,AR,1570232391,45,-43.3,-65.11,8.93,2.87
Pahrump,1,US,1570232392,5,36.21,-115.98,27.78,1.5
Sungaipenuh,7,ID,1570232392,86,-2.08,101.38,21.93,0.3
Macau,0,BR,1570232392,69,-5.11,-36.64,25.78,12.237
North Bend,75,US,1570232115,77,43.41,-124.22,16.67,5.7
Mercedes,100,UY,1570232393,96,-33.25,-58.03,14.44,3.58
Denpasar,40,ID,1570232393,94,-8.65,115.22,23,3.1
Dubbo,90,AU,1570232393,63,-32.25,148.6,19,5.1
Faya,0,SA,1570232394,33,18.39,42.45,18,1.65
Berlevag,100,NO,1570232394,70,70.86,29.09,5.67,3.43
Hauknes,18,NO,1570232394,54,66.28,14.07,-0.57,1
Sosua,75,DO,1570232395,94,19.77,-70.52,25,2.6
Portland,20,US,1570232143,49,43.66,-70.25,8.33,10.3
Raiganj,38,IN,1570232395,81,25.63,88.13,25.59,1.386
Grindavik,90,IS,1570232395,81,63.84,-22.43,10,19.5
Shelburne,1,CA,1570232396,81,44.08,-80.2,10,1.5
Poum,56,MK,1570232396,82,41.28,20.71,9.14,0.7
Myitkyina,0,MM,1570232396,98,25.38,97.4,20.24,1.04
Zonguldak,0,TR,1570232396,39,41.25,31.83,15.99,2.783
Coquimbo,0,CL,1570232397,76,-29.95,-71.34,13,5.1
Bambanglipuro,7,ID,1570232397,87,-7.95,110.28,23.08,2.9
Sao Joao da Barra,12,BR,1570232177,77,-21.64,-41.05,22.16,4
Kutum,100,SD,1570232398,84,14.2,24.66,20.53,1.91
Pishva,0,IR,1570232398,59,35.31,51.73,18,8.2
Buala,69,SB,1570232398,70,-8.15,159.59,28.7,2.517
Aklavik,40,CA,1570232398,72,68.22,-135.01,6,2.1
Nouakchott,29,MR,1570232399,83,18.08,-15.98,26,5.7
Tiksi,100,RU,1570232242,89,71.64,128.87,-6.33,11.95
Pampa,1,US,1570232399,64,35.54,-100.96,25,4.669
Fare,78,PF,1570232399,78,-16.7,-151.02,27.01,5.904
Zermatt,75,CH,1570232400,71,46.02,7.75,13,1
College,90,US,1570232400,93,64.86,-147.8,4,2.153
Kaili,59,ID,1570232401,66,-3.46,120.21,20.09,0.85
Poindimie,98,NC,1570232401,78,-20.93,165.33,21.41,8.166
Winneba,90,GH,1570232401,88,5.35,-0.62,26,5.7
Karlshamn,99,SE,1570232401,86,56.17,14.86,6.11,5.1
High Level,75,CA,1570232402,81,58.52,-117.13,8,4.1
Jacareacanga,100,BR,1570232402,94,-6.22,-57.76,22.92,0.41
Alice Town,81,BS,1570232403,81,25.72,-79.3,27.23,5.58
Maningrida,16,AU,1570232403,46,-12.05,134.23,28.28,5.145
Imbituba,75,BR,1570232256,88,-28.24,-48.67,21,1
Okhotsk,0,RU,1570232403,39,59.36,143.24,-2.66,5.381
Ixchiguan,75,GT,1570232404,83,15.2,-91.88,28,1.5
Singaparna,45,ID,1570232404,75,-7.35,108.11,21.37,1.72
Shingu,20,JP,1570232404,64,33.72,135.99,22,6.2
Mattru,100,SL,1570232405,95,7.62,-11.83,23.19,1.09
Sorgun,0,TR,1570232405,30,39.81,35.19,15.67,2.11
Kangaba,89,ML,1570232119,88,11.94,-8.41,23.27,0.75
Magaria,17,NE,1570232406,53,13,8.91,28.05,1.59
Kijang,40,KR,1570232150,73,35.24,129.21,23,0.5
Qasigiannguit,54,GL,1570232406,45,68.82,-51.19,7,1.5
Manadhoo,41,MV,1570232407,74,5.77,73.38,27.83,2.53
Oshikango,68,NA,1570232407,16,-17.39,15.89,26,1
Victoria,75,BN,1570232292,94,5.28,115.24,25,4.38
Calama,40,CL,1570232257,19,-22.46,-68.93,15,8.7
Acajutla,0,SV,1570232408,83,13.59,-89.83,25,2.1
Iracoubo,0,GF,1570232408,87,5.48,-53.21,25.41,2.38
Wanlaweyn,15,SO,1570232408,85,2.62,44.89,25.14,3.824
Unity,44,CA,1570232409,58,52.44,-109.15,14.44,1.79
Bocas del Toro,38,PA,1570232409,84,9.33,-82.25,12.78,2.68
Pishin,0,PK,1570232410,76,30.58,67,12.24,1.99
Ola,50,RU,1570232410,66,59.58,151.3,0.05,0.62
Preston,75,GB,1570232410,93,53.76,-2.71,12.22,3.1
Nyurba,69,RU,1570232410,87,63.29,118.35,-3.35,1.21
Novyye Burasy,50,RU,1570232411,53,52.13,46.08,13.33,3.58
Petropavlovsk-Kamchatskiy,97,RU,1570232411,52,53.05,158.65,6,4
Muisne,75,EC,1570232411,78,0.61,-80.02,27,4.6
Daru,100,PG,1570232412,73,-9.07,143.21,26.56,5.31
Nelson Bay,90,AU,1570232412,82,-32.72,152.14,17.22,2.1
Itapirapua,51,BR,1570232412,45,-15.82,-50.61,28.2,2.16
Greensboro,75,US,1570232413,35,36.07,-79.79,30,1.5
Palmer,0,AU,1570232413,31,-34.85,139.16,28.33,5.1
Lewisporte,75,CA,1570232413,60,49.25,-55.06,5,1
Ocean City,90,US,1570232409,62,30.44,-86.61,30,2.06
Zverinogolovskoye,76,RU,1570232414,78,54.46,64.85,10.38,3.53
Kisangani,100,CD,1570232414,99,0.52,25.21,20.6,0.24
Sterling,1,US,1570232415,49,39,-77.4,22,4.6
Abu Dhabi,0,AE,1570232415,70,24.47,54.37,32,2.1
Rena,0,ES,1570232415,68,39.05,-5.81,18.33,2.24
Zhob,0,PK,1570232415,78,31.34,69.45,11.84,1.51
Broome,13,GB,1570232416,87,52.47,1.45,13.33,1.5
Nakapiripirit,97,UG,1570232416,83,1.81,34.71,19.85,1.74
Vanimo,42,PG,1570232416,68,-2.67,141.3,27.77,1.23
Pimentel,43,BR,1570232416,85,-3.7,-45.5,24.29,1.31
Ipu,62,BR,1570232417,44,-4.32,-40.71,26.39,1.3
Santa catarina de Tepehuanes,70,MX,1570232417,61,25.34,-105.72,19.98,1.603
Chamba,0,IN,1570232221,45,32.56,76.12,14.28,3.22
Pisco,38,PE,1570232197,30,-13.71,-76.2,22,11.3
Char Bhadrasan,20,BD,1570232418,83,23.32,90.22,27,1.5
Tweed,20,CA,1570232418,66,44.48,-77.31,9,1
San Ramon,75,NI,1570232418,78,12.92,-85.84,25,0.882
Dzerzhinskoye,97,RU,1570232419,82,56.84,95.22,5.81,4.32
Arlit,49,NE,1570232419,8,18.74,7.39,32.31,4.95
Puyo,40,EC,1570232420,69,-1.48,-78,25,2.6
Kahului,40,US,1570232420,55,20.89,-156.47,31,13.4
Nanakuli,75,US,1570232420,65,21.39,-158.15,32,4.6
Caravelas,30,BR,1570232421,83,-17.73,-39.27,23.54,5.56
Manitouwadge,0,CA,1570232199,90,49.12,-85.84,3.29,2.55
Tecoanapa,75,MX,1570232421,74,16.99,-99.26,29,0.88
Piranhas,90,BR,1570232421,44,-16.43,-51.82,26.6,2.07
Antalaha,39,MG,1570232203,97,-14.9,50.28,18.87,1.69
Inndyr,75,NO,1570232422,46,67.03,14.03,0,1.5
Kaoma,41,ZM,1570232422,52,-14.8,24.8,22.45,4.06
Whitianga,71,NZ,1570232423,77,-36.83,175.7,17.22,3.13
Wewak,56,PG,1570232423,60,-3.55,143.63,29.56,0.701
Kijini,99,TZ,1570232423,77,-5.85,39.32,26.42,5.87
Ijevan,4,AM,1570232424,93,40.88,45.15,10.12,0.8
Bontang,100,ID,1570232424,88,0.12,117.47,25.04,1.11
George,0,MW,1570232424,73,-15.35,34.83,21.33,1.181
Negombo,40,LK,1570232424,88,7.21,79.83,26,2.6
Udaipur,0,IN,1570232425,82,24.58,73.69,20.34,0.91
Majene,20,ID,1570232425,76,-3.54,118.97,27.15,9.04
Poitiers,68,FR,1570232425,87,46.58,0.34,14,3.6
Tyrma,0,RU,1570232426,43,50.04,132.17,4.81,1.23
Dawei,100,MM,1570232426,81,14.07,98.19,26.71,2.54
Marshfield,1,US,1570232426,50,42.09,-70.71,12.22,4.1
Santa Isabel do Rio Negro,96,BR,1570232427,97,-0.41,-65.02,23.53,0.731
Plettenberg Bay,12,ZA,1570232427,80,-34.05,23.37,12.49,1.97
Altay,0,CN,1570232427,39,47.83,88.13,1.4,2.44
Nenjiang,0,CN,1570232427,51,49.17,125.23,4.52,2.54
Mount Isa,9,AU,1570232131,15,-20.73,139.49,28,5.1
Jijiga,30,ET,1570232428,88,9.35,42.8,15.15,1.05
Bafra,40,TR,1570232428,93,41.57,35.91,14,1
Bella Vista,90,AR,1570232428,67,-27.03,-65.31,17,2.6
Te Anau,51,NZ,1570232429,60,-45.41,167.72,5.41,0.31
Porto Novo,0,BR,1570232429,73,-23.68,-45.44,21,1.5
Yermakovskoye,90,RU,1570232429,65,53.28,92.4,2.24,2.755
Elizabeth City,1,US,1570232430,77,36.3,-76.22,22.22,2.1
Hollins,1,US,1570232430,33,37.35,-79.95,26,2.58
Agadez,1,NE,1570232430,25,16.97,7.99,31,2.82
Miandrivazo,45,MG,1570232431,81,-19.53,45.46,23.35,0.4
Omsukchan,37,RU,1570232431,78,62.53,155.8,-9.54,1.32
Isla Mujeres,75,MX,1570232431,100,21.23,-86.73,27,3.249
Siteki,0,SZ,1570232431,88,-26.45,31.95,21,1.63
Kostomuksha,100,RU,1570232432,93,64.59,30.6,-0.83,5.473
Starosubkhangulovo,30,RU,1570232432,61,53.1,57.43,5.85,2.6
Bikaner,0,IN,1570232432,35,28.02,73.32,28.38,2.29
Oranjemund,0,ZA,1570232433,87,-28.55,16.43,13.85,6.99
Broken Hill,30,AU,1570232433,11,-31.97,141.45,31,8.7
Cerro Largo,94,BR,1570232433,93,-28.15,-54.74,23.33,1.79
Nishihara,1,JP,1570232434,50,35.74,139.53,29.44,7.2
